,Ministério da Educação,,,,,,,,,,,,,,,,,,,
,Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Taxa de Distorção Idade-Série - Brasil, Regiões Geográficas e Unidades da Federação - 2024",,,,,,,,,,,,,,,,,,,,
"Taxa de Distorção Idade-Série por Localização e Dependência Administrativa, nos Níveis de Ensino Fundamental e Médio - Brasil, Regiões Geográficas e Unidades da Federação - 2024",,,,,,,,,,,,,,,,,,,,
Ano,Unidade Geográfica,Localização,Dependência Administrativa,Ensino Fundamental ,,,,,,,,,,,,Ensino Médio,,,,
,,,,Total,Anos Iniciais,Anos Finais,1º Ano,2º Ano,3º Ano,4º Ano,5º Ano,6º Ano,7º Ano,8º Ano,9º Ano,Total , 1ª Série, 2ª Série, 3ª Série, 4ª Série
,,,,,,,,,,,,,,,,,,,,
NU_ANO_CENSO,UNIDGEO,NO_CATEGORIA,NO_DEPENDENCIA,FUN_CAT_0,FUN_AI_CAT_0,FUN_AF_CAT_0,FUN_01_CAT_0,FUN_02_CAT_0,FUN_03_CAT_0,FUN_04_CAT_0,FUN_05_CAT_0,FUN_06_CAT_0,FUN_07_CAT_0,FUN_08_CAT_0,FUN_09_CAT_0,MED_CAT_0,MED_01_CAT_0,MED_02_CAT_0,MED_03_CAT_0,MED_04_CAT_0
2024,Norte,Urbana,Estadual,16.3,9.6,18.7,3.0,6.4,10.8,12.7,12.4,17.5,18.4,19.1,19.6,25.7,27.6,25.9,22.8,69.0
2024,Norte,Rural,Estadual,32.8,26.4,36.2,12.6,19.0,28.7,30.6,37.0,35.1,35.1,37.3,37.4,44.1,46.3,41.5,45.6,--
2024,Norte,Total,Municipal,19.0,12.7,31.1,3.5,6.8,13.9,17.3,21.9,30.7,31.2,31.3,31.4,27.8,30.3,21.6,32.7,--
2024,Norte,Urbana,Municipal,15.5,11.0,25.3,3.4,6.5,12.4,14.9,17.7,25.2,26.1,25.5,24.1,23.8,17.9,18.4,32.7,--
2024,Norte,Rural,Municipal,25.4,16.3,39.8,3.6,7.3,17.0,22.2,29.9,38.9,39.0,39.9,42.0,100.0,100.0,100.0,--,--
2024,Norte,Total,Privada,4.5,3.7,5.7,1.6,2.5,4.2,5.3,5.3,5.3,5.7,5.6,6.1,6.3,6.9,6.4,5.4,18.4
2024,Norte,Urbana,Privada,4.5,3.8,5.6,1.6,2.5,4.2,5.3,5.4,5.3,5.6,5.5,6.0,5.7,6.4,5.8,4.7,--
2024,Norte,Rural,Privada,6.1,1.6,10.1,0.0,0.3,1.7,1.6,3.9,7.5,12.0,11.4,9.1,21.1,18.4,20.8,26.2,18.4
2024,Norte,Total,Pública,18.9,12.7,26.5,3.6,7.0,13.9,17.1,21.1,26.2,26.5,26.6,26.7,28.3,29.6,28.5,26.3,69.0
2024,Norte,Urbana,Pública,15.8,10.8,21.7,3.4,6.5,12.2,14.5,16.7,21.3,22.0,21.9,21.5,25.2,27.0,25.4,22.5,69.0
2024,Norte,Rural,Pública,26.4,17.1,39.1,4.2,8.2,17.9,22.8,30.4,38.2,38.3,39.3,41.0,43.2,44.9,40.8,44.7,--
2024,Nordeste,Total,Total,14.1,8.9,20.5,2.5,4.7,9.6,12.7,14.8,20.5,20.9,20.9,19.6,22.2,23.7,21.4,20.9,35.2
2024,Nordeste,Urbana,Total,14.1,9.1,19.8,2.7,5.1,10.0,12.9,14.4,20.0,20.2,20.1,18.7,21.6,23.2,20.9,20.3,35.2
2024,Nordeste,Rural,Total,14.3,8.4,23.3,1.8,3.4,8.5,12.0,15.9,22.5,23.5,23.9,23.3,28.7,29.9,27.4,28.3,35.3
2024,Nordeste,Total,Federal,12.1,4.5,14.0,1.1,0.0,4.1,4.1,9.6,7.9,14.9,16.6,15.4,19.9,17.1,17.4,23.1,32.4
2024,Nordeste,Urbana,Federal,12.1,4.5,14.0,1.1,0.0,4.1,4.1,9.6,7.9,14.9,16.6,15.4,19.6,16.5,16.8,23.2,33.1
2024,Nordeste,Rural,Federal,--,--,--,--,--,--,--,--,--,--,--,--,21.5,20.7,21.0,22.9,24.0
2024,Nordeste,Total,Estadual,24.7,15.1,26.5,5.4,9.9,13.1,18.9,23.0,25.9,26.3,27.6,26.2,23.9,25.6,23.2,22.5,43.1
2024,Nordeste,Urbana,Estadual,24.2,12.2,26.1,3.9,7.8,10.1,15.9,18.2,25.3,25.8,27.3,25.7,23.5,25.2,22.8,22.0,39.2
2024,Nordeste,Rural,Estadual,29.5,24.7,32.4,9.3,16.3,22.9,29.6,40.1,31.7,32.7,31.9,33.1,28.3,29.9,26.9,27.7,81.9
2024,Nordeste,Total,Municipal,15.1,9.5,22.4,2.1,4.5,10.1,13.5,16.2,22.6,23.1,22.7,21.0,70.8,73.8,70.5,68.1,64.7
2024,Nordeste,Urbana,Municipal,15.5,10.1,22.2,2.3,5.1,10.9,14.4,16.6,22.7,23.0,22.4,20.4,73.0,83.7,73.2,56.6,52.5
2024,Nordeste,Rural,Municipal,13.9,8.1,22.9,1.7,3.2,8.3,11.6,15.4,22.2,23.2,23.6,22.8,69.4,66.3,68.9,72.4,76.2
2024,Nordeste,Total,Privada,7.0,6.6,7.8,3.4,5.1,7.7,9.0,8.2,8.4,7.7,7.6,7.3,7.7,8.8,7.4,6.4,39.3
2024,Nordeste,Urbana,Privada,7.0,6.6,7.7,3.4,5.1,7.7,9.0,8.1,8.4,7.6,7.5,7.2,7.1,8.2,6.9,5.9,73.0
2024,Nordeste,Rural,Privada,9.5,7.0,14.2,2.5,4.8,8.8,9.1,11.0,11.8,15.1,14.4,15.4,28.1,29.6,25.8,29.1,27.2
2024,Nordeste,Total,Pública,15.9,9.6,23.0,2.2,4.6,10.2,13.7,16.4,23.0,23.5,23.5,22.0,23.9,25.4,23.1,22.6,34.8
2024,Nordeste,Urbana,Pública,16.4,10.1,22.9,2.4,5.2,10.9,14.4,16.6,23.1,23.5,23.3,21.5,23.4,25.0,22.7,22.1,34.2
2024,Nordeste,Rural,Pública,14.4,8.4,23.4,1.8,3.4,8.5,12.0,15.9,22.6,23.6,24.0,23.4,28.7,29.9,27.5,28.3,41.9
2024,Sudeste,Total,Total,7.5,4.9,10.6,1.6,3.4,5.9,6.6,6.9,9.6,10.6,11.4,11.1,13.9,17.1,13.9,10.1,27.0
2024,Sudeste,Urbana,Total,7.4,4.8,10.5,1.6,3.3,5.8,6.5,6.7,9.4,10.4,11.2,10.9,13.9,17.1,13.9,10.0,28.2
2024,Sudeste,Rural,Total,10.0,6.7,16.0,2.3,5.0,7.5,9.2,9.5,15.4,15.9,16.8,16.0,16.0,18.5,15.4,13.4,13.5
